4.5220 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
23.9258 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
30.8660 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000200181F1DF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000200186F39A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
30.8661 	EXP 	window1: mouseVisible = True
30.8662 	EXP 	window1: mouseVisible = False
30.8663 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
30.8663 	EXP 	window1: recordFrameIntervals = False
31.0324 	EXP 	window1: recordFrameIntervals = True
31.2160 	EXP 	Screen (0) actual frame rate measured at 60.23Hz
31.2160 	EXP 	window1: recordFrameIntervals = False
41.9555 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
42.0021 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
42.0505 	EXP 	Imported C:/Users/JEMIMA/Documents/Conditions tutorial 1 Jemima R.xlsx as conditions, 1 conditions, 5 params
43.0106 	EXP 	window1: recordFrameIntervals = False
43.0157 	EXP 	window1: recordFrameIntervals = False
44.0988 	EXP 	fixation: autoDraw = True
44.1989 	EXP 	grating: autoDraw = True
44.1989 	EXP 	grating: tex = 'sin'
44.4991 	EXP 	grating: autoDraw = False
45.0988 	EXP 	fixation: autoDraw = False
61.0391 	EXP 	window1: recordFrameIntervals = False
61.0405 	DATA 	Keypress: right
61.0491 	EXP 	fixation: autoDraw = False
61.0491 	EXP 	grating: autoDraw = False
61.0494 	EXP 	window1: recordFrameIntervals = False
62.0306 	EXP 	fixation: autoDraw = True
63.0325 	EXP 	fixation: autoDraw = False
63.0494 	EXP 	grating: autoDraw = True
63.0494 	EXP 	grating: tex = 'sin'
63.3491 	EXP 	grating: autoDraw = False
63.8684 	EXP 	window1: recordFrameIntervals = False
63.8695 	DATA 	Keypress: right
63.8827 	EXP 	fixation: autoDraw = False
63.8827 	EXP 	grating: autoDraw = False
63.8829 	EXP 	window1: recordFrameIntervals = False
64.8585 	EXP 	fixation: autoDraw = True
65.8658 	EXP 	fixation: autoDraw = False
65.8826 	EXP 	grating: autoDraw = True
65.8826 	EXP 	grating: tex = 'sin'
66.1826 	EXP 	grating: autoDraw = False
66.3351 	EXP 	window1: recordFrameIntervals = False
66.3363 	DATA 	Keypress: left
66.3490 	EXP 	fixation: autoDraw = False
66.3490 	EXP 	grating: autoDraw = False
66.3492 	EXP 	window1: recordFrameIntervals = False
67.3253 	EXP 	fixation: autoDraw = True
68.3326 	EXP 	fixation: autoDraw = False
68.3492 	EXP 	grating: autoDraw = True
68.3492 	EXP 	grating: tex = 'sin'
68.6492 	EXP 	grating: autoDraw = False
68.8676 	EXP 	window1: recordFrameIntervals = False
68.8688 	DATA 	Keypress: left
68.8825 	EXP 	fixation: autoDraw = False
68.8825 	EXP 	grating: autoDraw = False
68.8827 	EXP 	window1: recordFrameIntervals = False
69.8583 	EXP 	fixation: autoDraw = True
70.8661 	EXP 	fixation: autoDraw = False
70.8661 	EXP 	grating: autoDraw = True
70.8661 	EXP 	grating: tex = 'sin'
71.1659 	EXP 	grating: autoDraw = False
71.2183 	EXP 	window1: recordFrameIntervals = False
71.2194 	DATA 	Keypress: right
71.2326 	EXP 	fixation: autoDraw = False
71.2326 	EXP 	grating: autoDraw = False
71.2329 	EXP 	window1: recordFrameIntervals = False
72.2083 	EXP 	fixation: autoDraw = True
73.2163 	EXP 	fixation: autoDraw = False
73.2332 	EXP 	grating: autoDraw = True
73.2332 	EXP 	grating: tex = 'sin'
73.5329 	EXP 	grating: autoDraw = False
73.7850 	EXP 	window1: recordFrameIntervals = False
73.7861 	DATA 	Keypress: right
73.7992 	EXP 	fixation: autoDraw = False
73.7992 	EXP 	grating: autoDraw = False
73.7995 	EXP 	window1: recordFrameIntervals = False
74.7744 	EXP 	fixation: autoDraw = True
75.2016 	DATA 	Keypress: left
75.7827 	EXP 	fixation: autoDraw = False
75.7994 	EXP 	grating: autoDraw = True
75.7994 	EXP 	grating: tex = 'sin'
76.0856 	EXP 	window1: recordFrameIntervals = False
76.0868 	DATA 	Keypress: left
76.0993 	EXP 	grating: autoDraw = False
76.0993 	EXP 	fixation: autoDraw = False
76.0993 	EXP 	grating: autoDraw = False
76.0997 	EXP 	window1: recordFrameIntervals = False
77.0773 	EXP 	fixation: autoDraw = True
78.0829 	EXP 	fixation: autoDraw = False
78.0995 	EXP 	grating: autoDraw = True
78.0995 	EXP 	grating: tex = 'sin'
78.3994 	EXP 	grating: autoDraw = False
78.4523 	EXP 	window1: recordFrameIntervals = False
78.4537 	DATA 	Keypress: right
78.4660 	EXP 	fixation: autoDraw = False
78.4660 	EXP 	grating: autoDraw = False
78.4662 	EXP 	window1: recordFrameIntervals = False
79.4426 	EXP 	fixation: autoDraw = True
80.4494 	EXP 	fixation: autoDraw = False
80.4661 	EXP 	grating: autoDraw = True
